일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),"Label(Swell : 1, non-Swell : 0)"
42064.41667,12.5,1.6,1.2,0.7,8.2,0
42064.45833,12.3,1.6,1.1,0.7,8.8,0
42064.5,12.3,1.3,1,0.6,8.5,0
42064.54167,12.3,1.1,0.9,0.5,8.8,1
42064.58333,12.3,1.2,0.9,0.5,8.6,1
42064.625,12.3,1.3,0.9,0.5,8.6,1
42064.66667,12.4,1.1,0.8,0.5,8.7,1
42064.70833,12.4,1.2,0.8,0.5,8.9,1
42064.75,12.5,0.9,0.7,0.4,8.1,1
42064.79167,12.5,1.1,0.8,0.5,8,0
42064.83333,12.7,1.1,0.7,0.4,8.5,0
42064.875,12.7,0.9,0.6,0.4,8.6,0
42064.91667,12.7,0.8,0.7,0.4,6.7,0
42064.95833,12.7,0.7,0.5,0.3,7.8,0
42065,12.4,0.7,0.5,0.3,7.7,0
42065.04167,12.5,0.7,0.5,0.3,7.7,0
42065.08333,12.5,0.8,0.4,0.3,5.8,0
42065.125,12.4,0.9,0.5,0.3,5.3,0
42065.16667,12.3,0.8,0.5,0.3,5.5,0
42065.20833,12.6,0.9,0.6,0.4,6.5,0
42065.25,12.5,0.9,0.6,0.3,6.3,0
42065.29167,12.5,1.3,0.8,0.5,6.9,0
42065.33333,12.6,1.1,0.9,0.6,7.3,0
42065.375,12.6,1,0.9,0.6,6.8,0
42065.41667,12.6,1.1,0.9,0.6,6.9,0
42065.45833,12.8,1.3,1,0.6,7.1,0
42065.5,12.9,1.3,0.9,0.6,6.4,0
42065.54167,13.5,1.2,0.9,0.6,7.1,0
42065.58333,13.7,1.1,0.8,0.5,6.5,0
42065.625,13.6,1.1,0.8,0.5,6.7,0
42065.66667,13.8,1.1,0.8,0.5,6.1,0
42065.70833,13.7,1.1,0.8,0.5,5.8,0
42065.75,13.6,1,0.7,0.5,4.9,0
42065.79167,13.5,0.9,0.7,0.4,4.6,0
42065.83333,13.4,1,0.8,0.5,4.3,0
42065.875,13.5,0.9,0.7,0.5,4.4,0
42065.91667,13.3,0.9,0.6,0.4,4.2,0
42065.95833,13.2,0.9,0.6,0.4,4.3,0
42066,13,0.8,0.6,0.4,4.4,0
42066.04167,12.9,0.7,0.5,0.4,4.3,0
42066.08333,12.8,0.7,0.5,0.3,4.8,0
42066.125,12.8,0.6,0.5,0.3,4.7,0
42066.16667,12.8,0.7,0.4,0.3,5,0
42066.20833,12.8,0.5,0.4,0.2,5.5,0
42066.25,12.7,0.6,0.4,0.2,5.3,0
42066.29167,12.6,0.6,0.4,0.3,5.6,0
42066.33333,12.7,0.5,0.4,0.2,6,0
42066.375,12.7,0.6,0.4,0.2,6,0
42066.41667,12.8,0.6,0.4,0.3,5.5,0
42066.45833,12.8,0.8,0.6,0.4,3.7,0
42066.5,12.7,0.6,0.5,0.3,4.3,0
42066.54167,12.8,0.5,0.4,0.2,4.5,0
42066.58333,12.8,0.4,0.3,0.2,5.2,0
42066.625,12.7,0.4,0.3,0.2,5.3,0
42066.66667,12.6,0.4,0.3,0.2,5.7,0
42066.70833,12.5,0.3,0.3,0.2,6.1,0
42066.75,12.4,0.3,0.3,0.2,5.8,0
42066.79167,12.4,0.5,0.3,0.2,5.8,0
42066.83333,12.3,0.4,0.3,0.2,5.1,0
42066.875,12.3,0.3,0.2,0.1,5.8,0
42066.91667,12.1,0.3,0.2,0.1,5.6,0
42066.95833,12.1,0.3,0.2,0.1,5.6,0
42067,12.1,0.5,0.3,0.2,3.9,0
42067.04167,12.2,0.4,0.3,0.2,4,0
42067.08333,12.1,0.3,0.2,0.2,3.7,0
42067.125,12,0.4,0.3,0.2,2.8,0
42067.16667,11.8,0.6,0.4,0.3,2.5,0
42067.20833,12,0.7,0.4,0.3,2.3,0
42067.25,12.1,0.5,0.4,0.2,2.4,0
42067.29167,12.2,0.5,0.3,0.2,2.3,0
42067.33333,12,0.4,0.2,0.2,2.5,0
42067.375,11.9,0.3,0.2,0.1,3,0
42067.41667,12,0.3,0.2,0.2,3,0
42067.45833,12,0.4,0.3,0.2,3.1,0
42067.5,12.2,0.4,0.3,0.2,2.7,0
42067.54167,12.2,0.7,0.4,0.3,2.5,0
42067.58333,12,0.6,0.4,0.3,2.8,0
42067.625,11.7,0.6,0.4,0.3,3.2,0
42067.66667,11.7,0.5,0.4,0.2,3.9,0
42067.70833,11.8,0.7,0.5,0.3,5.2,0
42067.75,11.9,0.7,0.5,0.3,5.7,0
42067.79167,12.2,0.8,0.6,0.4,7.1,0
42067.83333,12.4,0.9,0.7,0.5,7.3,0
42067.875,12.5,1.3,0.9,0.6,7.8,0
42067.91667,12.4,1.2,0.9,0.5,8,0
42067.95833,13.3,1.6,1.2,0.7,7.9,0
42068,13.4,1.3,1,0.6,7.5,0
42068.04167,13,1.2,1,0.6,7.4,0
42068.08333,12.6,1.4,1,0.6,7.2,0
42068.125,12.4,1.3,1,0.6,7.2,0
42068.16667,12.3,1.7,1.2,0.7,7.1,0
42068.20833,12.2,1.6,1.2,0.8,7.3,0
42068.25,12.1,1.6,1.3,0.8,7.7,0
42068.29167,11.9,1.9,1.5,1,7.9,0
42068.33333,11.9,2.3,1.7,1.1,8.3,0
42068.375,12.1,2.9,2.1,1.3,8.5,0
42068.41667,12.5,2.7,2,1.2,8.9,0
42068.45833,13.1,3.1,2.2,1.4,8.9,0
42068.5,13.2,2.7,2.3,1.5,9.1,0
42068.54167,13.4,2.6,2,1.3,8.9,1
42068.58333,13.5,2.5,2.3,1.5,9.2,1
42068.625,13.5,2.9,2.4,1.5,9.2,1
42068.66667,13.5,2.7,2.1,1.3,9.3,1
42068.70833,13.5,2.5,2.4,1.5,9.4,1
42068.75,13.6,2.8,2.2,1.4,9.3,1
42068.79167,13.5,3,2.1,1.3,8.9,1
42068.83333,13.5,3.2,2.3,1.4,9.2,1
42068.875,13.5,2.9,2.2,1.4,9.3,1
42068.91667,13.6,3.1,2.3,1.5,9,1
42068.95833,13.5,2.5,1.8,1.1,8.7,1
42069,13.2,2.5,1.9,1.2,8.5,1
42069.04167,13,2.6,1.8,1.1,8.8,1
42069.08333,12.9,2.5,1.8,1.1,8.5,1
42069.125,13,2.3,1.8,1.1,8.3,1
42069.16667,13.1,2.4,1.7,1.1,8.2,1
42069.20833,12.9,2.3,1.8,1.1,8.5,1
42069.25,12.9,2.2,1.7,1.1,8.4,1
42069.29167,12.8,2.3,1.7,1.1,8.7,1
42069.33333,12.8,2.5,1.7,1,7.8,1
42069.375,12.8,1.9,1.4,0.9,7.3,1
42069.41667,12.9,2.1,1.4,0.9,7.7,1
42069.45833,12.9,1.7,1.3,0.9,7.1,1
42069.5,12.8,2.3,1.4,0.9,7.3,1
42069.54167,12.9,1.8,1.3,0.8,7.5,1
42069.58333,12.8,1.6,1.3,0.9,7.8,1
42069.625,12.9,1.7,1.2,0.8,7.5,1
42069.66667,12.9,1.7,1.3,0.8,7.8,1
42069.70833,12.8,1.7,1.3,0.8,7.7,1
42069.75,12.7,1.7,1.3,0.8,7.7,1
42069.79167,12.9,1.7,1.3,0.8,7.8,1
42069.83333,12.9,1.6,1.3,0.8,8,1
42069.875,12.8,1.7,1.2,0.8,7.8,1
42069.91667,12.8,1.4,1.1,0.8,7.8,1
42069.95833,12.8,1.6,1.1,0.7,7.6,1
42070,12.7,1.7,1.2,0.7,8,1
42070.04167,12.6,1.7,1.1,0.7,7.5,1
42070.08333,12.6,1.4,1.1,0.7,7.3,1
42070.125,12.5,1.3,1.1,0.7,7.4,1
42070.16667,12.4,1.1,1,0.6,7.2,1
42070.20833,12.4,1.4,1,0.6,7.4,1
42070.25,12.3,1.6,1,0.6,7.2,1
42070.29167,12.3,1.2,0.9,0.6,7.6,0
42070.33333,12.3,1.2,0.9,0.6,7,0
42070.375,12.4,1.2,0.8,0.5,7.2,0
42070.41667,12.5,1.2,0.9,0.6,7.4,0
42070.45833,12.8,1.1,0.9,0.6,6.9,0
42070.5,12.9,1.1,0.9,0.6,7.3,0
42070.54167,12.9,1,0.8,0.5,6.6,0
42070.58333,12.9,1,0.8,0.5,6.6,0
42070.625,12.8,1.1,0.8,0.5,6.3,0
42070.66667,12.7,1,0.7,0.4,5.8,0
42070.70833,12.5,1.1,0.7,0.5,6.1,0
42070.75,12.6,1,0.7,0.5,5.9,0
42070.79167,12.5,1.1,0.7,0.5,5.3,0
42070.83333,12.4,1,0.7,0.4,5.3,0
42070.875,12.3,0.8,0.7,0.4,5.3,0
42070.91667,12.3,1,0.7,0.4,5.5,0
42070.95833,12.8,0.8,0.6,0.4,5.8,0
42071,13.1,1,0.6,0.4,5.5,0
42071.04167,13,0.8,0.6,0.4,5.3,0
42071.08333,12.7,0.7,0.6,0.4,5.3,0
42071.125,12.5,0.8,0.6,0.4,5.4,0
42071.16667,12.4,0.7,0.6,0.4,5.4,0
42071.20833,12.3,0.9,0.6,0.4,5,0
42071.25,12.2,0.7,0.5,0.3,5,0
42071.29167,12.2,0.7,0.5,0.3,4.9,0
42071.33333,12.1,0.6,0.5,0.3,5.5,0
42071.375,12.1,0.7,0.5,0.3,5.1,0
42071.41667,12.2,0.6,0.4,0.3,4.8,0
42071.45833,12.3,0.6,0.5,0.3,5.1,0
42071.5,12.5,0.7,0.5,0.3,4.7,0
42071.54167,13.1,0.7,0.5,0.3,4.5,0
42071.58333,13.5,0.7,0.5,0.3,4.5,0
42071.625,14,0.8,0.5,0.4,4.5,0
42071.66667,13.8,0.8,0.6,0.4,4.5,0
42071.70833,13.5,0.8,0.6,0.4,4.3,0
42071.75,13.4,0.9,0.7,0.4,4.5,0
42071.79167,13.1,1,0.7,0.5,4.4,0
42071.83333,12.8,1.1,0.7,0.5,4.9,0
42071.875,12.7,0.9,0.7,0.5,4.5,0
42071.91667,12.6,0.9,0.7,0.4,4.8,0
42071.95833,13.5,4,11.3,4.7,11.2,0
42072,12.4,0.9,0.7,0.4,4.5,0
42072.04167,12.3,0.9,0.7,0.4,4.4,0
42072.08333,13.2,0.7,0.6,0.4,4.4,0
42072.125,13.4,0.8,0.6,0.4,4.5,0
42072.16667,13.6,0.8,0.6,0.4,4.6,0
42072.20833,13.5,0.8,0.6,0.4,4.7,0
42072.25,13.3,0.9,0.6,0.4,4.8,0
42072.29167,12.8,0.9,0.6,0.4,4.9,0
42072.33333,12.6,0.8,0.6,0.4,5,0
42072.375,12.5,1,0.6,0.4,5.1,0
42072.41667,12.5,0.7,0.6,0.4,5,0
42072.45833,12.8,0.7,0.5,0.3,5,0
42072.5,12.9,0.5,2.9,1.7,9.5,0
42072.54167,12.5,0.2,0.1,0.1,7.2,0
42076.66667,12.7,0.8,0.6,0.3,7.5,0
42076.70833,12.7,0.8,0.6,0.4,7.6,0
42076.75,12.7,1.1,0.7,0.4,8.1,0
42076.79167,12.6,1,0.8,0.5,7.9,0
42076.83333,12.6,0.9,0.8,0.5,6.6,0
42076.875,12.6,1.1,0.8,0.5,6.7,0
42076.91667,12.5,1.1,0.8,0.5,6.3,0
42076.95833,12.5,1.1,0.8,0.5,6.1,0
42077,12.5,1.1,0.8,0.5,6,0
42077.04167,12.5,0.9,0.6,0.4,6.1,0
42077.08333,12.5,0.9,0.6,0.4,5.7,0
42077.125,12.5,0.9,0.6,0.4,5.8,0
42077.16667,12.5,0.9,0.7,0.4,6.2,0
42077.20833,12.4,0.8,0.6,0.4,6.3,0
42077.25,12.4,0.8,0.6,0.4,6.5,0
42077.29167,12.4,1,0.7,0.4,6.3,0
42077.33333,12.3,0.8,0.6,0.3,6.5,0
42077.375,12.3,0.9,0.6,0.4,6.8,0
42077.41667,12.3,0.9,0.6,0.4,6.6,0
42077.45833,12.3,0.9,0.5,0.3,6.2,0
42077.5,12.4,0.9,0.6,0.4,6.4,0
42077.54167,12.5,0.8,0.6,0.4,5.9,0
42077.58333,12.8,0.8,0.6,0.4,5.5,0
42077.625,13.7,0.8,0.6,0.4,5.7,0
42077.66667,13.9,0.9,0.6,0.4,5.5,0
42077.70833,13.4,0.9,0.7,0.4,5.5,0
42077.75,13.1,0.9,0.7,0.4,5.4,0
42077.79167,13,0.9,0.7,0.4,5.1,0
42077.83333,13,0.9,0.6,0.4,5.1,0
42077.875,13.2,1,0.6,0.4,5.4,0
42077.91667,13,0.9,0.6,0.4,4.3,0
42077.95833,12.9,0.8,0.6,0.4,5,0
42078,13,0.7,0.5,0.3,5,0
42078.04167,12.9,0.8,0.6,0.4,4.9,0
42078.08333,12.8,0.9,0.6,0.4,4.9,0
42078.125,12.6,0.9,0.6,0.4,4.8,0
42078.16667,12.6,0.8,0.5,0.3,4.9,0
42078.20833,12.5,0.7,0.5,0.3,4.9,0
42078.25,12.6,0.6,0.4,0.3,4.8,0
42078.29167,12.5,0.6,0.5,0.3,4.9,0
42078.33333,12.5,0.6,0.4,0.3,4.9,0
42078.375,12.5,0.5,0.4,0.2,5.3,0
42078.41667,12.6,0.5,0.4,0.2,5.4,0
42078.45833,12.8,0.6,0.4,0.2,4.9,0
42078.5,13,0.7,0.4,0.3,5.3,0
42078.54167,13,0.8,0.5,0.3,4.9,0
42078.58333,13.2,0.8,0.5,0.4,4.1,0
42078.625,13.1,1.1,0.8,0.5,4,0
42078.66667,13.3,1.3,0.9,0.6,4.1,0
42078.70833,13.2,1.3,1,0.6,4.6,0
42078.75,13.1,1.4,1.1,0.7,4.4,0
42078.79167,13,1.5,1,0.7,4.5,0
42078.83333,12.9,1.1,0.8,0.5,4.4,0
42078.875,12.8,0.9,0.6,0.4,4.5,0
42078.91667,12.8,0.7,0.5,0.3,4.7,0
42078.95833,12.7,0.6,0.5,0.3,5.4,0
42079,12.7,0.6,0.4,0.3,5.7,0
42079.04167,12.6,0.5,0.4,0.3,5,0
42079.08333,12.6,0.5,0.4,0.2,6.8,0
42079.125,12.5,0.8,0.4,0.3,6,0
42079.16667,12.5,0.5,0.4,0.2,7.1,0
42079.20833,12.5,0.7,0.4,0.3,7.5,0
42079.25,12.5,0.6,0.4,0.3,7.2,0
42079.29167,12.5,0.6,0.4,0.2,7.5,0
42079.33333,12.5,0.5,0.4,0.2,7.1,0
42079.375,12.4,0.5,0.3,0.2,7.6,0
42079.41667,12.6,0.5,0.3,0.2,6.2,0
42079.45833,12.7,0.6,0.4,0.2,6.9,0
42079.5,12.8,0.6,0.4,0.2,6.4,0
42079.54167,13,0.5,0.4,0.2,7.1,0
42079.58333,13.5,0.5,0.4,0.2,7.7,0
42079.625,13.5,0.5,0.4,0.2,7,0
42079.66667,13.6,0.6,0.5,0.3,7.7,0
42079.70833,13.5,0.8,0.5,0.3,8.3,0
42079.75,13.2,0.8,0.5,0.3,6.3,0
42079.79167,12.9,0.9,0.6,0.4,5.3,0
42079.83333,12.8,0.9,0.6,0.4,4.6,0
42079.875,12.7,1.1,0.6,0.4,4.9,0
42079.91667,12.6,1.1,0.7,0.4,4,0
42079.95833,12.6,1.2,0.7,0.4,4.5,0
42080,12.6,0.8,0.6,0.4,4.2,0
42080.04167,12.5,0.8,0.6,0.4,3.9,0
42080.08333,12.5,0.8,0.7,0.4,4.2,0
42080.125,12.5,0.6,0.4,0.3,4.1,0
42080.16667,12.5,0.5,0.4,0.2,4.2,0
42080.20833,12.5,0.5,0.3,0.2,4.1,0
42080.25,12.5,0.4,0.3,0.2,4,0
42080.29167,12.4,0.5,0.3,0.2,4.1,0
42080.33333,12.4,0.3,0.2,0.2,3.8,0
42080.375,12.5,0.4,0.2,0.2,3.7,0
42080.41667,13,0.4,0.3,0.2,4.1,0
42080.45833,13.7,0.4,0.3,0.2,4.1,0
42080.5,13.5,0.4,0.3,0.2,3.7,0
42080.54167,14,0.4,0.3,0.2,3.7,0
42080.58333,13.7,0.5,0.4,0.3,3.6,0
42080.625,14,0.5,0.4,0.3,3.4,0
42080.66667,14,0.6,0.4,0.3,3.7,0
42080.70833,14,0.5,0.4,0.3,3.7,0
42080.75,14.1,0.6,0.4,0.3,4.2,0
42080.79167,14.2,0.6,0.4,0.3,3.9,0
42080.83333,14.1,0.7,0.5,0.3,4,0
42080.875,14.1,0.6,0.5,0.3,3.9,0
42080.91667,14.1,0.6,0.5,0.3,3.9,0
42080.95833,14,0.6,0.4,0.3,4.1,0
42081,13.6,0.6,0.4,0.3,4,0
42081.04167,13.4,0.7,0.4,0.3,4.3,0
42081.08333,13.4,0.8,0.5,0.3,4.4,0
42081.125,13.4,1,0.8,0.5,3.8,0
42081.16667,13.5,1.5,1.1,0.7,4.7,0
42081.20833,13.4,1.8,1.3,0.9,5.2,0
42081.25,13.4,1.9,1.3,0.8,5.2,0
42081.29167,13.4,1.7,1.1,0.7,4.9,0
42081.33333,13.4,1.7,1.3,0.8,5.1,0
42081.375,13.4,1.8,1.3,0.8,5.5,0
42081.41667,13.5,1.8,1.3,0.8,5.6,0
42081.45833,13.5,1.8,1.3,0.8,5.6,0
42081.5,13.6,1.9,1.5,0.9,5.4,0
42081.54167,13.6,2.1,1.3,0.8,5.2,0
42081.58333,13.6,1.8,1.3,0.8,5.3,0
42081.625,13.6,1.9,1.3,0.8,5.4,0
42081.66667,13.6,1.9,1.4,0.9,5.3,0
42081.70833,13.6,1.7,1.2,0.8,5,0
42081.75,13.6,2.6,1.6,1,5.3,0
42081.79167,13.5,3.6,2.3,1.3,6,0
42081.83333,13.5,3.2,2.7,1.6,6.2,0
42081.875,13.5,3.3,2.8,1.7,6.7,0
42081.91667,13.5,4.5,3,1.8,6.7,0
42081.95833,13.4,4.4,3.3,2,6.9,0
42082,13.4,3.7,2.7,1.7,6.8,0
42082.04167,13.2,3.5,2.3,1.4,6.6,0
42082.08333,13.3,3,2.1,1.3,6.6,0
42082.125,12.8,2.8,2.1,1.3,6.8,0
42082.16667,12.5,2.6,1.7,1,6.5,0
42082.20833,12.2,2.4,1.9,1.1,6.7,0
42082.25,12,2.5,1.8,1.1,6.6,0
42082.29167,11.8,2.4,1.9,1.2,6.5,0
42082.33333,11.5,2.3,1.8,1.1,6.7,0
42082.375,11.6,2.5,2,1.2,7,0
42082.41667,11.8,2.5,1.9,1.2,7.1,0
42082.45833,11.8,2.3,1.8,1.1,6.8,0
42082.5,12.9,2.8,1.9,1.1,6.9,0
42082.54167,13,2.5,1.8,1.1,6.6,0
42082.58333,13.1,2.7,1.7,1,6.5,0
42082.625,13.1,2.2,1.7,1.1,6.3,0
42082.66667,13,1.9,1.5,0.9,6.3,0
42082.70833,13,2.1,1.4,0.9,6.2,0
42082.75,12.9,1.9,1.4,0.9,6.4,0
42082.79167,12.9,1.8,1.3,0.8,6.6,0
42082.83333,12.7,1.8,1.2,0.7,6.4,0
42082.875,12.5,1.7,1.3,0.8,6.5,0
42082.91667,12.5,1.7,1.2,0.8,6.5,0
42082.95833,12.3,1.6,1.1,0.7,6.4,0
42083,12.4,1.6,1.1,0.7,6.5,0
42083.04167,12.1,1.5,1.1,0.7,6.9,0
42083.08333,12.8,1.4,1.1,0.7,6.5,0
42083.125,13,1.6,1,0.6,6.4,0
42083.16667,13,1.4,0.9,0.5,6.4,0
42083.20833,12.8,1.2,0.9,0.6,6.4,0
42083.25,12.8,1.3,0.9,0.6,6.5,0
42083.29167,12.8,1.3,1,0.6,6.6,0
42083.33333,12.6,1.4,1,0.6,6.6,0
42083.375,12.9,1.3,0.9,0.6,6.7,0
42083.41667,13.1,1.5,1,0.6,6.5,0
42083.45833,13.2,1.1,0.9,0.6,6.3,0
42083.5,13.2,1.1,0.8,0.5,6.2,0
42083.54167,13.3,1.2,0.9,0.6,6.4,0
42083.58333,13.3,1.2,0.9,0.6,5.8,0
42083.625,13.3,1.1,0.8,0.5,5.9,0
42083.66667,13.3,1.2,0.8,0.5,6.1,0
42083.70833,13.5,1.2,0.8,0.5,6.5,0
42083.75,13.4,1.2,0.8,0.5,5.7,0
42083.79167,13.7,1.2,0.8,0.5,6.2,0
42083.83333,13.8,0.9,0.7,0.5,6.2,0
42083.875,14.1,0.9,0.7,0.4,5.8,0
42083.91667,14.1,0.8,0.6,0.4,5.9,0
42083.95833,13.9,0.7,0.5,0.3,5.9,0
42084,13.7,0.7,0.5,0.3,5.8,0
42084.04167,13.5,0.8,0.6,0.4,6.1,0
42084.08333,13.3,0.6,0.5,0.3,5.6,0
42084.125,13,0.6,0.5,0.3,6.1,0
42084.16667,12.3,0.7,0.5,0.3,5.4,0
42084.20833,12.7,0.7,0.5,0.3,6,0
42084.25,13.1,0.6,0.5,0.3,5.7,0
42084.29167,13.2,0.7,0.5,0.3,5.3,0
42084.33333,13.2,0.7,0.5,0.3,5.7,0
42084.375,13.2,0.7,0.5,0.3,6,0
42084.41667,13.3,0.6,0.4,0.2,5.7,0
42084.45833,13.5,0.5,0.3,0.2,5.3,0
42084.5,13.7,0.5,0.4,0.2,4.7,0
42084.54167,13.8,0.5,0.4,0.2,5.3,0
42084.58333,13.8,0.5,0.4,0.2,5,0
42084.625,13.8,0.6,0.4,0.3,4.3,0
42084.66667,13.6,0.6,0.4,0.3,4.3,0
42084.70833,13.7,0.6,0.4,0.3,4.6,0
42084.75,13.9,0.6,0.5,0.3,5.2,0
42084.79167,14,0.8,0.5,0.3,5.8,0
42084.83333,13.8,0.6,0.4,0.3,5,0
42084.875,13.9,0.5,0.4,0.2,4.6,0
42084.91667,13.7,0.6,0.4,0.3,4.5,0
42084.95833,13.7,0.5,0.4,0.2,4.3,0
42085.04167,13.5,0.5,0.4,0.3,4.3,0
42085.08333,13.4,0.4,0.3,0.2,4.7,0
42085.125,13.4,0.6,0.4,0.2,4.8,0
42085.16667,13.3,0.6,0.4,0.2,5.1,0
42085.20833,13.2,0.5,0.3,0.2,4.3,0
42085.25,13.1,0.4,0.4,0.2,4.5,0
42085.29167,13.4,0.4,0.3,0.2,4.7,0
42085.33333,13.4,0.4,0.3,0.2,4.3,0
42085.375,13.4,0.5,0.3,0.2,5.7,0
42085.41667,13.5,0.6,0.4,0.2,7,0
42085.45833,13.6,0.3,0.3,0.2,6.2,0
42085.5,13.6,0.3,0.2,0.1,5.5,0
42085.54167,13.7,0.5,0.3,0.2,4.9,0
42085.58333,13.7,0.6,0.4,0.2,4.7,0
42085.625,13.7,0.7,0.4,0.3,5,0
42085.66667,13.7,0.9,0.6,0.4,5.3,0
42085.70833,13.7,0.8,0.5,0.3,5.4,0
42085.75,13.7,0.9,0.5,0.3,5.8,0
42085.79167,13.6,0.7,0.4,0.3,5.7,0
42085.83333,13.5,0.7,0.4,0.3,5.6,0
42085.875,13.5,0.5,0.3,0.2,5.1,0
42085.91667,13.5,0.7,0.4,0.3,4.4,0
42085.95833,13.4,0.3,0.2,0.1,5,0
42086,13.4,0.4,0.5,0.2,4.9,0
42086.04167,13.4,0.7,0.4,0.2,4.7,0
42086.08333,13.3,0.7,0.4,0.3,4.9,0
42086.125,13.2,1,0.6,0.4,4.9,0
42086.16667,13.2,1,0.6,0.4,5.2,0
42086.20833,13.1,1,0.7,0.4,5.5,0
42086.25,12.9,1.2,0.7,0.4,5.9,0
42086.29167,12.9,1,0.7,0.5,5.8,0
42086.33333,13,0.9,0.6,0.4,5.8,0
42086.375,12.7,0.9,0.7,0.4,5.5,0
42086.41667,13,0.9,0.6,0.4,5.6,0
42086.45833,13,1,0.6,0.4,5.6,0
42086.5,13.1,0.7,0.6,0.4,5.7,0
42086.54167,13.2,1,0.8,0.5,6.2,0
42086.58333,13,1.4,1,0.6,7,0
42086.625,13,1.4,1.1,0.7,7.2,0
42086.66667,12.9,1.7,1.2,0.7,7.3,0
42086.70833,12.9,1.3,0.9,0.5,7.2,0
42086.75,12.7,1.3,1,0.6,7.4,0
42086.79167,12.5,1.7,1.2,0.7,7.5,0
42086.83333,12.6,2,1.4,0.9,6.6,0
42086.875,12.8,1.9,1.5,1,6.5,0
42086.91667,12.8,2.2,1.5,0.9,6.4,0
42086.95833,12.9,1.6,1.2,0.7,6.3,0
42087,12.9,1.6,1.2,0.7,6.1,0
42087.04167,13,1.5,1.1,0.7,6.4,0
42087.08333,12.9,1.6,1.2,0.8,6.4,0
42087.125,12.9,1.8,1.2,0.8,6.5,0
42087.16667,12.8,1.5,1.1,0.7,6.6,0
42087.20833,12.7,1.4,1,0.6,6.9,0
42087.25,12.7,1.4,1,0.6,6.7,0
42087.29167,12.7,1.2,0.9,0.6,6.1,0
42087.33333,12.7,1.3,1,0.6,6,0
42087.375,12.7,1.5,1,0.7,5.8,0
42087.41667,12.6,1.6,1.1,0.7,6.1,0
42087.45833,12.7,1.4,0.9,0.6,5.7,0
42087.5,12.8,1.4,0.9,0.5,6,0
42087.54167,12.5,1.3,0.8,0.5,6.2,0
42087.58333,13,1.3,0.9,0.5,5.8,0
42087.625,13.1,1.3,0.8,0.5,6.1,0
42087.66667,13.3,1.2,0.9,0.5,6.5,0
42087.70833,13.3,1.3,0.9,0.5,6.9,0
42087.75,13.2,1.4,1,0.6,7.3,0
42087.79167,13.1,1.4,1,0.6,7.5,0
42087.83333,13,1.7,1.2,0.7,7.6,0
42087.875,12.9,1.4,1.1,0.7,7.6,0
42087.91667,12.9,1.5,1.2,0.7,7.7,0
42087.95833,12.9,1.4,1.1,0.7,7.7,0
42088,12.9,1.5,1.1,0.7,7.5,0
42088.04167,12.8,1.6,1.3,0.8,7.4,0
42088.08333,12.8,1.5,1.2,0.8,7.5,0
42088.125,12.6,1.6,1.2,0.7,7.4,0
42088.16667,12.6,1.4,1.1,0.7,7.3,0
42088.20833,12.5,1.3,1.1,0.7,7.6,0
42088.25,12.5,1.4,1,0.6,7.3,0
42088.29167,12.5,1.4,1.1,0.7,7.9,0
42088.33333,12.4,1.3,1,0.6,7.5,0
42088.375,12.5,1.3,0.9,0.6,7.2,0
42088.41667,12.7,1.3,1,0.6,7.4,0
42088.45833,12.9,1.2,0.9,0.6,7.9,0
42088.5,13.1,1.4,1,0.6,8.1,0
42088.54167,13,1.3,1,0.7,8.5,0
42088.58333,13.1,1.4,1,0.6,8.3,0
42088.625,13.1,1.6,1,0.6,7.8,0
42088.66667,13.3,1.6,1.1,0.7,7.7,0
42088.70833,12.9,1.5,1.1,0.7,6.2,0
42088.75,13.2,1.7,1.2,0.7,6.7,0
42088.79167,13,1.9,1.1,0.7,6,0
42088.83333,13.4,1.6,1.2,0.8,5.7,0
42088.875,13.4,1.7,1.3,0.8,6,0
42088.91667,13.5,1.9,1.2,0.8,6.3,0
42088.95833,13.4,1.7,1.2,0.7,6.8,0
42089,13.4,1.7,1.2,0.7,8,0
42089.04167,13.3,1.7,1.3,0.8,9.5,0
42089.08333,13.3,1.6,1.3,0.8,8.8,0
42089.125,13.2,1.7,1.2,0.7,9.1,0
42089.16667,13,1.5,1.8,0.9,9.1,0
42089.20833,12.8,1.4,1.2,0.7,9.5,0
42089.25,12.8,1.6,1.1,0.7,9.3,0
42089.29167,12.7,1.3,1.1,0.6,9.2,0
42089.33333,12.7,1.4,1,0.6,9.4,0
42089.375,12.8,1.3,0.9,0.5,9.6,0
42089.41667,12.9,1.3,0.9,0.5,9.3,0
42089.45833,13,1.2,0.9,0.5,9.4,0
42089.5,13.2,1.2,1,0.6,9.9,0
42089.54167,13.3,1.3,1,0.6,9.1,0
42089.58333,13.3,1,0.9,0.5,7.5,0
42089.625,13.2,1.3,1,0.6,7.6,0
42089.66667,13.1,1.5,1,0.6,6.9,0
42089.70833,13.2,1.7,1.1,0.7,6.8,0
42089.75,13.1,1.7,1.1,0.7,6.5,0
42089.79167,13,1.5,1.1,0.7,6.4,0
42089.83333,12.9,1.2,1,0.6,5.6,0
42089.875,12.8,1.3,1,0.6,6.6,0
42089.91667,12.8,1.5,0.9,0.6,6.6,0
42089.95833,12.7,1.2,0.9,0.6,7.4,0
42090,12.7,1.1,0.8,0.5,7.4,0
42090.04167,12.6,1.2,0.7,0.4,7.4,0
